,state,county,cousub,county name,state initials,rent50_0_2018,rent50_0_2019,rent50_1_2018,rent50_1_2019,rent50_2_2018,rent50_2_2019,rent50_3_2018,rent50_3_2019,rent50_4_2018,rent50_4_2019,pop2010_2018,pop2010_2019,hu2010_2018,hu2010_2019
3925,48,197,99999,Hardeman County,TX,568,558.0,572,561.0,761,742.0,1009,985.0,1190,1143.0,4139.0,4139.0,2417.0,2417.0
3926,48,199,99999,Hardin County,TX,616,684.0,749,788.0,917,973.0,1179,1255.0,1295,1385.0,54635.0,54635.0,22597.0,22597.0
3927,48,201,99999,Harris County,TX,830,874.0,936,976.0,1146,1188.0,1565,1624.0,1982,2041.0,4092459.0,4092459.0,1598698.0,1598698.0
3928,48,203,99999,Harrison County,TX,618,548.0,709,726.0,818,853.0,1077,1117.0,1190,1153.0,65631.0,65631.0,27704.0,27704.0
3929,48,205,99999,Hartley County,TX,630,620.0,725,721.0,833,825.0,1172,1193.0,1303,1271.0,6062.0,6062.0,1946.0,1946.0
3930,48,207,99999,Haskell County,TX,527,526.0,607,611.0,697,700.0,874,877.0,1090,1079.0,5899.0,5899.0,3443.0,3443.0
3931,48,209,99999,Hays County,TX,928,1004.0,1104,1170.0,1350,1417.0,1812,1869.0,2178,2262.0,157107.0,157107.0,59417.0,59417.0
3932,48,211,99999,Hemphill County,TX,527,588.0,607,648.0,697,783.0,1014,1044.0,1228,1375.0,3807.0,3807.0,1629.0,1629.0
3933,48,213,99999,Henderson County,TX,616,644.0,669,695.0,841,887.0,1123,1173.0,1312,1401.0,78532.0,78532.0,39595.0,39595.0
3934,48,215,99999,Hidalgo County,TX,615,614.0,619,618.0,804,799.0,1014,1016.0,1176,1158.0,774769.0,774769.0,248287.0,248287.0
3935,48,217,99999,Hill County,TX,500,509.0,595,618.0,784,793.0,983,994.0,1102,1072.0,35089.0,35089.0,16118.0,16118.0
3936,48,219,99999,Hockley County,TX,639,603.0,643,634.0,855,802.0,1072,1005.0,1337,1236.0,22935.0,22935.0,9293.0,9293.0
3937,48,221,99999,Hood County,TX,696,753.0,822,890.0,1015,1075.0,1418,1450.0,1748,1805.0,51182.0,51182.0,24951.0,24951.0
3938,48,223,99999,Hopkins County,TX,617,600.0,625,628.0,816,799.0,1062,1099.0,1270,1261.0,35161.0,35161.0,15029.0,15029.0
3939,48,225,99999,Houston County,TX,496,482.0,584,567.0,777,750.0,974,940.0,1066,1014.0,23732.0,23732.0,11532.0,11532.0
3940,48,227,99999,Howard County,TX,698,714.0,701,772.0,923,950.0,1157,1190.0,1301,1337.0,35012.0,35012.0,13124.0,13124.0
3941,48,229,99999,Hudspeth County,TX,556,562.0,715,713.0,872,874.0,1093,1095.0,1495,1489.0,3476.0,3476.0,1527.0,1527.0
3942,48,231,99999,Hunt County,TX,789,905.0,948,1070.0,1163,1300.0,1563,1732.0,2004,2251.0,86129.0,86129.0,36704.0,36704.0
3943,48,233,99999,Hutchinson County,TX,618,633.0,622,637.0,827,842.0,1048,1074.0,1417,1390.0,22150.0,22150.0,10629.0,10629.0
3944,48,235,99999,Irion County,TX,615,662.0,744,788.0,964,1031.0,1327,1392.0,1552,1656.0,1599.0,1599.0,856.0,856.0
