,state,county name,County seat,state initial,studio_2021,bedroom_1_2021,bedroom_2_2021,bedroom_3_2021,bedroom_4_2021,lat,lng,coordinates,Distance (miles)
40,13,McDuffie County,Thomson,GA,689.0,767.0,883.0,1200.0,1529.0,33.4706927,-82.50457329999999,"(33.4706927, -82.50457329999999)",117
41,13,Richmond County,Augusta,GA,689.0,767.0,883.0,1200.0,1529.0,33.4734978,-82.0105148,"(33.4734978, -82.0105148)",145
42,13,Lincoln County,Lincolnton,GA,585.0,651.0,747.0,1009.0,1013.0,33.7923477,-82.479018,"(33.7923477, -82.479018)",136
43,13,Brantley County,Nahunta,GA,770.0,775.0,940.0,1314.0,1440.0,31.20439,-81.98122599999999,"(31.20439, -81.98122599999999)",256
44,13,Glynn County,Brunswick,GA,770.0,775.0,940.0,1314.0,1440.0,31.1499528,-81.49148939999999,"(31.1499528, -81.49148939999999)",307
45,13,McIntosh County,Darien,GA,770.0,775.0,940.0,1314.0,1440.0,31.3702255,-81.43399029999999,"(31.3702255, -81.43399029999999)",291
46,13,Catoosa County,Ringgold,GA,683.0,746.0,900.0,1173.0,1402.0,34.9159099,-85.1091173,"(34.9159099, -85.1091173)",101
47,13,Dade County,Trenton,GA,683.0,746.0,900.0,1173.0,1402.0,34.8720222,-85.50913000000001,"(34.8720222, -85.50913000000001)",136
48,13,Walker County,Lafayette,GA,683.0,746.0,900.0,1173.0,1402.0,34.7048022,-85.2818998,"(34.7048022, -85.2818998)",101
49,13,Chattahoochee County,Cusseta,GA,697.0,775.0,900.0,1209.0,1558.0,32.3061354,-84.77704849999999,"(32.3061354, -84.77704849999999)",122
50,13,Harris County,Hamilton,GA,697.0,775.0,900.0,1209.0,1558.0,32.7579106,-84.87493110000001,"(32.7579106, -84.87493110000001)",87
51,13,Marion County,Buena Vista,GA,697.0,775.0,900.0,1209.0,1558.0,32.3190398,-84.51714109999999,"(32.3190398, -84.51714109999999)",138
52,13,Muscogee County,Columbus,GA,697.0,775.0,900.0,1209.0,1558.0,32.4609764,-84.9877094,"(32.4609764, -84.9877094)",107
53,13,Whitfield County,Dalton,GA,559.0,640.0,794.0,1088.0,1094.0,34.7698021,-84.9702228,"(34.7698021, -84.9702228)",89
54,13,Murray County,Chatsworth,GA,544.0,582.0,767.0,982.0,1071.0,34.7659145,-84.7699385,"(34.7659145, -84.7699385)",85
55,13,Hall County,Gainesville,GA,807.0,884.0,1008.0,1329.0,1486.0,34.2978794,-83.8240663,"(34.2978794, -83.8240663)",54
56,13,Liberty County,Hinesville,GA,871.0,901.0,1027.0,1470.0,1778.0,31.8315028,-81.6141099,"(31.8315028, -81.6141099)",239
57,13,Long County,Ludowici,GA,616.0,620.0,747.0,1069.0,1183.0,31.7079919,-81.7423357,"(31.7079919, -81.7423357)",236
58,13,Bibb County,Macon,GA,566.0,746.0,853.0,1086.0,1193.0,32.8406946,-83.6324022,"(32.8406946, -83.6324022)",85
59,13,Crawford County,Knoxville,GA,566.0,746.0,853.0,1086.0,1193.0,32.7243072,-83.9976875,"(32.7243072, -83.9976875)",85
60,13,Jones County,Gray,GA,566.0,746.0,853.0,1086.0,1193.0,33.0095802,-83.5337816,"(33.0095802, -83.5337816)",87
61,13,Twiggs County,Jeffersonville,GA,566.0,746.0,853.0,1086.0,1193.0,32.687646,-83.3465561,"(32.687646, -83.3465561)",107
62,13,Monroe County,Forsyth,GA,548.0,692.0,789.0,986.0,1366.0,33.0342974,-83.938242,"(33.0342974, -83.938242)",60
63,13,Floyd County,Rome,GA,654.0,658.0,832.0,1115.0,1319.0,34.257038,-85.1646726,"(34.257038, -85.1646726)",70
64,13,Bryan County,Pembroke,GA,948.0,996.0,1135.0,1559.0,1806.0,32.1360332,-81.6220565,"(32.1360332, -81.6220565)",218
65,13,Chatham County,Savannah,GA,948.0,996.0,1135.0,1559.0,1806.0,32.0808989,-81.091203,"(32.0808989, -81.091203)",248
66,13,Effingham County,Springfield,GA,948.0,996.0,1135.0,1559.0,1806.0,32.3642241,-81.30418,"(32.3642241, -81.30418)",239
